"Year","Date","name","value","Group","DOY"
2019,2019-03-22,"Chlorophyll a",158.51,"Phytoplankton",81
2019,2019-03-22,"Phycocyanin",10.66,"Phytoplankton",81
2019,2019-03-23,"Chlorophyll a",176.85,"Phytoplankton",82
2019,2019-03-23,"Phycocyanin",11.75,"Phytoplankton",82
2019,2019-03-24,"Chlorophyll a",188.87,"Phytoplankton",83
2019,2019-03-24,"Phycocyanin",12.465,"Phytoplankton",83
2019,2019-03-25,"Chlorophyll a",206.18,"Phytoplankton",84
2019,2019-03-25,"Phycocyanin",12.49,"Phytoplankton",84
2019,2019-03-26,"Chlorophyll a",224.13,"Phytoplankton",85
2019,2019-03-26,"Phycocyanin",13.905,"Phytoplankton",85
2019,2019-03-27,"Chlorophyll a",236.84,"Phytoplankton",86
2019,2019-03-27,"Phycocyanin",14.39,"Phytoplankton",86
2019,2019-03-28,"Chlorophyll a",210.555,"Phytoplankton",87
2019,2019-03-28,"Phycocyanin",12.57,"Phytoplankton",87
2019,2019-03-29,"Chlorophyll a",200.95,"Phytoplankton",88
2019,2019-03-29,"Phycocyanin",12.185,"Phytoplankton",88
2019,2019-03-30,"Chlorophyll a",206.87,"Phytoplankton",89
2019,2019-03-30,"Phycocyanin",11.45,"Phytoplankton",89
2019,2019-03-31,"Chlorophyll a",225.45,"Phytoplankton",90
2019,2019-03-31,"Phycocyanin",11.545,"Phytoplankton",90
2019,2019-04-01,"Chlorophyll a",216.43,"Phytoplankton",91
2019,2019-04-01,"Phycocyanin",10.995,"Phytoplankton",91
2019,2019-04-02,"Chlorophyll a",218.795,"Phytoplankton",92
2019,2019-04-02,"Phycocyanin",10.54,"Phytoplankton",92
2019,2019-04-03,"Chlorophyll a",230.97,"Phytoplankton",93
2019,2019-04-03,"Phycocyanin",11.63,"Phytoplankton",93
2019,2019-04-04,"Chlorophyll a",244.18,"Phytoplankton",94
2019,2019-04-04,"Phycocyanin",12.575,"Phytoplankton",94
2019,2019-04-05,"Chlorophyll a",223.24,"Phytoplankton",95
2019,2019-04-05,"Phycocyanin",11.92,"Phytoplankton",95
2019,2019-04-06,"Chlorophyll a",213.745,"Phytoplankton",96
2019,2019-04-06,"Phycocyanin",11.315,"Phytoplankton",96
2019,2019-04-07,"Chlorophyll a",177.695,"Phytoplankton",97
2019,2019-04-07,"Phycocyanin",9.455,"Phytoplankton",97
2019,2019-04-08,"Chlorophyll a",148.13,"Phytoplankton",98
2019,2019-04-08,"Phycocyanin",8.825,"Phytoplankton",98
2019,2019-04-09,"Chlorophyll a",115.88,"Phytoplankton",99
2019,2019-04-09,"Phycocyanin",9.455,"Phytoplankton",99
2019,2019-04-10,"Chlorophyll a",84.18,"Phytoplankton",100
2019,2019-04-10,"Phycocyanin",8.525,"Phytoplankton",100
2019,2019-04-11,"Chlorophyll a",58.415,"Phytoplankton",101
2019,2019-04-11,"Phycocyanin",6.26,"Phytoplankton",101
2019,2019-04-12,"Chlorophyll a",57.22,"Phytoplankton",102
2019,2019-04-12,"Phycocyanin",5.89,"Phytoplankton",102
2019,2019-04-13,"Chlorophyll a",47.87,"Phytoplankton",103
2019,2019-04-13,"Phycocyanin",4.85,"Phytoplankton",103
2019,2019-04-14,"Chlorophyll a",42.115,"Phytoplankton",104
