Daph_season;MC_season;Daph_year;Daph_clone;MC_strain;Start_date;End_date;N_individuals;D0_alive;D5_alive;D9_alive;D12_alive
early;early;2018;1a;10;10/02/2021;22/02/2021;6;6;6;3;0
early;early;2018;1a;11;10/02/2021;19/02/2021;6;6;6;3;1
early;early;2018;1a;12;10/02/2021;22/02/2021;6;6;6;5;3
early;late;2018;1a;30;10/02/2021;19/02/2021;6;6;5;0;0
early;late;2018;1a;36;10/02/2021;22/02/2021;6;6;6;3;2
early;late;2018;1a;41;10/02/2021;19/02/2021;6;6;6;3;2
early;early;2018;1b;10;10/02/2021;22/02/2021;6;6;6;5;4
early;early;2018;1b;11;10/02/2021;19/02/2021;6;6;6;2;1
early;early;2018;1b;12;10/02/2021;22/02/2021;6;6;6;4;2
early;late;2018;1b;30;10/02/2021;22/02/2021;6;6;6;4;0
early;late;2018;1b;36;10/02/2021;22/02/2021;6;6;6;5;2
early;late;2018;1b;41;10/02/2021;19/02/2021;6;6;6;1;0
early;early;2018;1c;10;10/02/2021;22/02/2021;5;5;5;4;4
early;early;2018;1c;11;10/02/2021;22/02/2021;6;6;6;1;0
early;early;2018;1c;12;10/02/2021;22/02/2021;4;4;3;3;3
early;late;2018;1c;30;10/02/2021;15/02/2021;4;4;3;2;1
early;late;2018;1c;36;10/02/2021;22/02/2021;4;4;4;3;3
early;late;2018;1c;41;10/02/2021;19/02/2021;4;4;2;0;0
late;late;2018;2a;30;12/02/2021;24/02/2021;6;6;5;1;0
late;late;2018;2a;36;12/02/2021;14/02/2021;6;6;3;2;0
late;late;2018;2a;41;12/02/2021;17/02/2021;6;6;3;1;1
late;early;2018;2a;10;12/02/2021;24/02/2021;6;6;6;3;1
late;early;2018;2a;11;12/02/2021;17/02/2021;6;6;5;0;0
late;early;2018;2a;12;12/02/2021;24/02/2021;6;6;5;2;0
late;late;2018;2b;30;12/02/2021;24/02/2021;6;6;6;4;3
late;late;2018;2b;36;12/02/2021;24/02/2021;6;6;6;6;5
late;late;2018;2b;41;12/02/2021;21/02/2021;6;6;6;5;4
late;early;2018;2b;10;12/02/2021;24/02/2021;6;6;6;5;2
late;early;2018;2b;11;12/02/2021;24/02/2021;6;6;6;5;3
late;early;2018;2b;12;12/02/2021;24/02/2021;6;6;6;5;2
late;late;2018;2c;30;11/02/2021;23/02/2021;6;6;6;3;3
late;late;2018;2c;36;11/02/2021;16/02/2021;6;6;2;1;1
late;late;2018;2c;41;11/02/2021;16/02/2021;6;6;5;3;3
late;early;2018;2c;10;11/02/2021;20/02/2021;6;6;6;1;0
late;early;2018;2c;11;11/02/2021;23/02/2021;6;6;6;1;1
late;early;2018;2c;12;11/02/2021;23/02/2021;6;6;6;2;1
early;early;2019;3a;72;11/02/2021;23/02/2021;6;6;6;6;5
early;early;2019;3a;82;11/02/2021;20/02/2021;6;6;5;1;1
early;early;2019;3a;89;11/02/2021;23/02/2021;6;6;6;4;2
early;late;2019;3a;114;11/02/2021;23/02/2021;6;6;6;3;2
early;late;2019;3a;119;11/02/2021;23/02/2021;6;6;6;5;2
early;late;2019;3a;121;11/02/2021;23/02/2021;6;6;6;6;6
early;early;2019;3b;72;11/02/2021;20/02/2021;6;6;6;5;5
early;early;2019;3b;82;11/02/2021;23/02/2021;6;6;6;6;4
early;early;2019;3b;89;11/02/2021;23/02/2021;6;6;6;6;5
early;late;2019;3b;114;11/02/2021;16/02/2021;6;6;3;1;1
early;late;2019;3b;119;11/02/2021;23/02/2021;6;6;6;6;6
early;late;2019;3b;121;11/02/2021;23/02/2021;6;6;6;6;6
early;early;2019;3c;72;11/02/2021;20/02/2021;6;6;6;5;5
early;early;2019;3c;82;11/02/2021;23/02/2021;6;6;3;3;3
early;early;2019;3c;89;11/02/2021;23/02/2021;6;6;6;5;5
early;late;2019;3c;114;11/02/2021;20/02/2021;6;6;5;0;0
early;late;2019;3c;119;11/02/2021;16/02/2021;6;6;3;0;0
early;late;2019;3c;121;11/02/2021;20/02/2021;6;6;5;1;0
late;late;2019;4a;114;12/02/2021;21/02/2021;5;5;5;3;1
late;late;2019;4a;119;12/02/2021;21/02/2021;5;5;5;1;0
late;late;2019;4a;121;12/02/2021;24/02/2021;5;5;5;5;5
late;early;2019;4a;72;12/02/2021;21/02/2021;5;5;4;1;1
late;early;2019;4a;82;12/02/2021;21/02/2021;4;4;4;1;1
late;early;2019;4a;89;12/02/2021;21/02/2021;5;5;5;0;0
late;late;2019;4b;114;NA;NA;;;;;
late;late;2019;4b;119;NA;NA;;;;;
late;late;2019;4b;121;NA;NA;;;;;
late;early;2019;4b;72;NA;NA;;;;;
late;early;2019;4b;82;NA;NA;;;;;
late;early;2019;4b;89;NA;NA;;;;;
late;late;2019;4c;114;11/02/2021;16/02/2021;6;6;2;0;0
late;late;2019;4c;119;11/02/2021;23/02/2021;6;6;5;5;5
late;late;2019;4c;121;11/02/2021;23/02/2021;6;6;5;4;4
late;early;2019;4c;72;11/02/2021;20/02/2021;6;6;5;3;3
late;early;2019;4c;82;11/02/2021;23/02/2021;6;6;4;2;2
late;early;2019;4c;89;11/02/2021;23/02/2021;6;6;4;4;3
